ID,pred
8010,0.13034
8011,0.022344
8012,0.059864
8013,0.178034
8014,0.040934
8015,0.036416
8016,0.056342
8017,0.040594
8018,0.167938
8019,0.04019
8020,0.184488
8021,0.071739
8022,0.182308
8023,0.048546
8024,0.203524
8025,0.105805
8026,0.152162
8027,0.16318
8028,0.107646
8029,0.284914
8030,0.115091
8031,0.217264
8032,0.034049
8033,0.159685
8034,0.189817
8035,0.474563
8036,0.13347
8037,0.106387
8038,0.02196
8039,0.508295
8040,0.146919
8041,0.029587
8042,0.091112
8043,0.183654
8044,0.118725
8045,0.042705
8046,0.090025
8047,0.068049
8048,0.094101
8049,0.051939
8050,0.076936
8051,0.091987
8052,0.061997
8053,0.033327
8054,0.120388
8055,0.040746
8056,0.157925
8057,0.781012
8058,0.461742
8059,0.375893
8060,0.718869
8061,0.570503
8062,0.298775
8063,0.62765
8064,0.129624
8065,0.625436
8066,0.341964
8067,0.390474
8068,0.675261
8069,0.41643
8070,0.7644
8071,0.411757
8072,0.721685
8073,0.272546
8074,0.171069
8075,0.192225
8076,0.237563
8077,0.375719
8078,0.190609
8079,0.392006
8080,0.475974
8081,0.558727
8082,0.298645
8083,0.295818
8084,0.364283
8085,0.29482
8086,0.532832
8087,0.141947
8088,0.693728
8089,0.638551
8090,0.277319
8091,0.636564
8092,0.75284
8093,0.136314
8094,0.72411
8095,0.634804
8096,0.542233
8097,0.402345
8098,0.544897
8099,0.0974
8100,0.366121
8101,0.121338
8102,0.159511
8103,0.48639
8104,0.685656
8105,0.136589
8106,0.843384
8107,0.382097
8108,0.627655
8109,0.714881
8110,0.496363
8111,0.403876
8112,0.720027
8113,0.226999
8114,0.101997
8115,0.25627
8116,0.636492
8117,0.196202
8118,0.140065
8119,0.171309
8120,0.133947
8121,0.483103
8122,0.645511
8123,0.615712
8124,0.620788
8125,0.692732
8126,0.362329
8127,0.487836
8128,0.091564
8129,0.310456
8130,0.381326
8131,0.169309
8132,0.579923
8133,0.190362
8134,0.237774
8135,0.676058
8136,0.404372
8137,0.828258
8138,0.188774
8139,0.817331
8140,0.142836
8141,0.663428
8142,0.404357
8143,0.688705
8144,0.334113
8145,0.70408
8146,0.654716
8147,0.138433
8148,0.718148
8149,0.673694
8150,0.410237
8151,0.127558
8152,0.149507
8153,0.421692
8154,0.568668
8155,0.154613
8156,0.388293
8157,0.351158
8158,0.150461
8159,0.3027
8160,0.570482
8161,0.205029
8162,0.486957
8163,0.277046
8164,0.648349
8165,0.576452
8166,0.173912
8167,0.409717
8168,0.753956
8169,0.246473
8170,0.370398
8171,0.48129
8172,0.198546
8173,0.838563
8174,0.602326
8175,0.172481
8176,0.550238
8177,0.600913
8178,0.296287
8179,0.420884
8180,0.66781
8181,0.395616
8182,0.567009
8183,0.783811
8184,0.672989
8185,0.103408
8186,0.576593
8187,0.6913
8188,0.433847
