"id","Response"
250045,"0"
1597,"0"
157755,"0"
201054,"0"
178942,"0"
355648,"0"
85523,"0"
70843,"0"
201119,"0"
203423,"0"
14960,"0"
110385,"0"
347958,"0"
199659,"0"
163273,"0"
7956,"0"
250934,"0"
210531,"0"
72584,"0"
260214,"0"
55387,"0"
20388,"0"
217329,"0"
220299,"0"
148296,"0"
10156,"0"
8002,"0"
329885,"0"
328244,"0"
146933,"0"
242620,"0"
44194,"0"
147934,"0"
334288,"0"
266776,"0"
32449,"0"
10767,"0"
45016,"0"
135930,"0"
187254,"0"
116709,"0"
360046,"0"
37358,"0"
352671,"0"
189786,"0"
339396,"0"
326861,"0"
69738,"0"
329500,"0"
155892,"0"
164802,"0"
228469,"0"
114354,"0"
52023,"0"
206554,"0"
213755,"0"
80781,"0"
76813,"0"
190695,"0"
124803,"0"
265568,"0"
19579,"0"
46276,"0"
315609,"0"
51618,"0"
362703,"0"
70720,"0"
192482,"0"
166259,"0"
144192,"0"
16682,"0"
203143,"0"
239867,"0"
52302,"0"
301803,"0"
18824,"0"
78832,"0"
212933,"0"
2725,"0"
30853,"0"
197795,"0"
52082,"0"
288220,"0"
37494,"0"
16423,"0"
193445,"0"
26788,"0"
108311,"0"
25173,"0"
334443,"0"
335786,"0"
116452,"0"
298532,"0"
315648,"0"
230896,"0"
181265,"0"
273709,"0"
256070,"0"
117395,"0"
238550,"0"
215468,"0"
222873,"0"
309128,"0"
114403,"0"
296579,"0"
197676,"0"
145896,"0"
193302,"0"
230408,"0"
25608,"0"
274385,"0"
156774,"0"
96002,"0"
41008,"0"
306080,"0"
5871,"0"
299868,"0"
45201,"0"
266456,"0"
203056,"0"
1286,"0"
233507,"0"
141120,"0"
60562,"0"
236611,"0"
375107,"0"
114287,"0"
321339,"0"
186316,"0"
199454,"0"
300039,"0"
230344,"0"
345456,"0"
117257,"0"
167006,"0"
251066,"0"
303534,"0"
138119,"0"
254099,"0"
344532,"0"
153103,"0"
296295,"0"
62681,"0"
149618,"0"
348088,"0"
213716,"0"
319683,"0"
171454,"0"
105760,"0"
325615,"0"
71951,"0"
95113,"0"
313432,"0"
59861,"0"
125821,"0"
268880,"0"
375296,"0"
118391,"0"
245967,"0"
334123,"0"
335857,"0"
112406,"0"
243459,"0"
281886,"0"
365098,"0"
243872,"0"
101009,"0"
23314,"0"
179418,"0"
288301,"0"
149889,"0"
165714,"0"
364814,"0"
179472,"0"
182756,"0"
264795,"0"
313453,"0"
128219,"0"
278673,"0"
257633,"0"
318537,"0"
69172,"0"
17258,"0"
74846,"0"
237495,"0"
328238,"0"
140809,"0"
51525,"0"
273120,"0"
214474,"0"
30230,"0"
170239,"0"
366950,"0"
339220,"0"
200048,"0"
11783,"0"
303120,"0"
239112,"0"
379272,"0"
225677,"0"
78469,"0"
138474,"0"
87600,"0"
310008,"0"
268955,"0"
283283,"0"
131027,"0"
40044,"0"
129104,"0"
203237,"0"
162156,"0"
159502,"0"
43996,"0"
210929,"0"
111486,"0"
277143,"0"
20647,"0"
314282,"0"
44491,"0"
166984,"0"
214410,"0"
282242,"0"
344543,"0"
338622,"0"
329035,"0"
10949,"0"
104641,"0"
342284,"0"
346501,"0"
151839,"0"
245835,"0"
316355,"0"
58154,"0"
273985,"0"
167930,"0"
295378,"0"
91007,"0"
266929,"0"
145891,"0"
216556,"0"
18652,"0"
330043,"0"
158711,"0"
312576,"0"
32616,"0"
120988,"0"
22040,"0"
48700,"0"
316557,"0"
188542,"0"
86181,"0"
54722,"0"
311058,"0"
55897,"0"
38616,"0"
108192,"0"
236077,"0"
2282,"0"
9674,"0"
166379,"0"
374199,"0"
83098,"0"
3211,"0"
174309,"0"
116696,"0"
18622,"0"
375032,"0"
375246,"0"
59555,"0"
183637,"0"
123597,"0"
313376,"0"
8219,"0"
78206,"0"
16675,"0"
361957,"0"
87684,"0"
68809,"0"
186032,"0"
359933,"0"
40805,"0"
319678,"0"
79072,"0"
356642,"0"
127414,"0"
149015,"0"
291745,"0"
207437,"0"
339449,"0"
215420,"0"
311264,"0"
35300,"0"
370318,"0"
153080,"0"
30550,"0"
258209,"0"
149327,"0"
18752,"0"
316585,"0"
111279,"0"
67656,"0"
372597,"0"
346277,"0"
313984,"0"
121996,"0"
293371,"0"
333837,"0"
159408,"0"
124507,"0"
366757,"0"
288524,"0"
181046,"0"
314839,"0"
12898,"0"
215368,"0"
44258,"0"
209392,"0"
161214,"0"
110028,"0"
