index,loan_status
1,0.650266671
2,0.579207738
3,0.451437679
4,0.426939388
5,0.432444398
6,0.414121015
7,0.421979128
8,0.629364392
9,0.632580452
10,0.643846816
11,0.636561673
12,0.647897432
13,0.556249152
14,0.641583692
15,0.639902744
16,0.608046815
17,0.657822327
18,0.643032283
19,0.595869051
20,0.614298773
21,0.619027101
22,0.630177761
23,0.631980011
24,0.645710936
25,0.659519163
26,0.645706416
27,0.628063345
28,0.645015845
29,0.598962382
30,0.634467528
31,0.632873772
32,0.627461047
33,0.632636568
34,0.627461047
35,0.574078046
36,0.632580452
37,0.623140926
38,0.636546947
39,0.646199069
40,0.632580452
41,0.634995898
42,0.62565113
43,0.635998338
44,0.628548535
45,0.642944658
46,0.651230098
47,0.602321094
48,0.59391676
49,0.646942367
50,0.64308597
51,0.603905097
52,0.646260671
53,0.651765837
54,0.647914204
55,0.63279464
56,0.629455519
57,0.676296069
58,0.652598468
59,0.645077967
60,0.650822676
61,0.673677476
62,0.651861857
63,0.647009479
64,0.607896587
65,0.654487257
66,0.671426816
67,0.637494069
68,0.667030704
69,0.669361807
70,0.652631384
71,0.593607407
72,0.650806168
73,0.649686058
74,0.663453071
75,0.650759427
76,0.629913838
77,0.65742746
78,0.648054135
79,0.656278487
80,0.645348801
81,0.671215268
82,0.665009058
83,0.663925795
84,0.652718068
85,0.579250937
86,0.427283172
87,0.416898308
88,0.449651259
89,0.447476868
90,0.633579633
91,0.637078799
92,0.595869051
93,0.632320906
94,0.655194274
95,0.632320906
96,0.602077962
97,0.614298773
98,0.590575311
99,0.633127924
100,0.608942895
101,0.650396445
102,0.636840883
103,0.635862251
104,0.642213806
105,0.625380921
106,0.649244687
107,0.632580452
108,0.631075491
109,0.611325884
110,0.619946772
111,0.57516087
112,0.634612101
113,0.619348596
114,0.644102365
115,0.651322865
116,0.650339075
117,0.647874107
118,0.474319394
119,0.461345947
120,0.446767175
121,0.410227101
122,0.458715497
123,0.404600566
124,0.630064799
125,0.624860608
126,0.644479758
127,0.643846816
128,0.632580452
129,0.625404425
130,0.625889813
131,0.630764649
132,0.625380921
133,0.625425575
134,0.627461047
135,0.629364392
136,0.625380921
137,0.623886989
138,0.651861857
139,0.645703552
140,0.648952691
141,0.642075606
142,0.64737386
143,0.657771005
144,0.649037625
145,0.647779336
146,0.650904772
147,0.633442896
148,0.649037625
149,0.65489385
150,0.648871883
