"index","loan_status"
1,0.8325
2,0.67
3,0.725
4,0.09
5,0.2725
6,0.5675
7,0.15
8,0.585
9,0.615
10,0.75
11,0.2325
12,0.555
13,0.3825
14,0.285
15,0.585
16,0.3275
17,0.76
18,0.745
19,0.6775
20,0.64
21,0.395
22,0.6275
23,0.4
24,0.4625
25,0.835
26,0.5975
27,0.4525
28,0.5725
29,0.6725
30,0.7075
31,0.475
32,0.5625
33,0.6525
34,0.5625
35,0.5325
36,0.615
37,0.71
38,0.45
39,0.62
40,0.615
41,0.5025
42,0.2875
43,0.5775
44,0.7125
45,0.5625
46,0.815
47,0.32
48,0.4625
49,0.8575
50,0.8675
51,0.345
52,0.67
53,0.96
54,0.7025
55,0.6175
56,0.49
57,0.85
58,0.8875
59,0.5275
60,0.935
61,0.835
62,0.9025
63,0.5675
64,0.305
65,0.845
66,0.945
67,0.87
68,0.9725
69,0.9575
70,0.985
71,0.7375
72,0.98
73,0.96
74,0.975
75,1
76,0.8725
77,0.97
78,0.8925
79,0.995
80,0.8975
81,0.93
82,0.905
83,0.97
84,0.9725
85,0.4975
86,0.4675
87,0.2375
88,0.36
89,0.3675
90,0.3475
91,0.745
92,0.6775
93,0.53
94,0.6975
95,0.53
96,0.4525
97,0.64
98,0.36
99,0.5125
100,0.65
101,0.705
102,0.6275
103,0.5475
104,0.545
105,0.64
106,0.6525
107,0.615
108,0.62
109,0.4325
110,0.7125
111,0.1575
112,0.5275
113,0.2425
114,0.6125
115,0.92
116,0.9425
117,0.5025
118,0.08
119,0.055
120,0.36
121,0.4575
122,0.425
123,0.2475
124,0.4125
125,0.45
126,0.5975
127,0.75
128,0.615
129,0.375
130,0.7375
131,0.545
132,0.64
133,0.25
134,0.5625
135,0.585
136,0.64
137,0.3875
138,0.9025
139,0.635
140,0.8975
141,0.7775
142,0.4575
143,0.845
144,0.8125
145,0.875
146,0.6875
147,0.5775
148,0.8125
149,0.95
150,0.93
