"index","loan_status"
1,0.563333333333333
2,0.976666666666667
3,0.33
4,0.376666666666667
5,0.883333333333333
6,0.686666666666667
7,0.22
8,0.47
9,0.853333333333333
10,0.703333333333333
11,0.313333333333333
12,0.756666666666667
13,0.57
14,0.576666666666667
15,0.56
16,0.366666666666667
17,0.823333333333333
18,0.65
19,0.526666666666667
20,0.69
21,0.786666666666667
22,0.976666666666667
23,0.11
24,0.923333333333333
25,0.59
26,0.79
27,0.13
28,0.47
29,0.56
30,0.39
31,0.91
32,0.3
33,0.36
34,1
35,0.836666666666667
36,0.08
37,0.266666666666667
38,0.92
39,0.926666666666667
40,0.733333333333333
41,0.543333333333333
42,0.696666666666667
43,0.996666666666667
44,0.57
45,0.956666666666667
46,0.756666666666667
47,0.976666666666667
48,0.403333333333333
49,0.22
50,0.956666666666667
51,0.873333333333333
52,0.246666666666667
53,0.58
54,0.563333333333333
55,0.31
56,0.776666666666667
57,0.566666666666667
58,0.713333333333333
59,0.79
60,0.386666666666667
61,0.87
62,0.78
63,0.556666666666667
64,0.983333333333333
65,1
66,0.77
67,0.966666666666667
68,0.293333333333333
69,0.166666666666667
70,0.166666666666667
71,0.823333333333333
72,0.566666666666667
73,0.783333333333333
74,0.933333333333333
75,0.88
76,0.613333333333333
77,0.953333333333333
78,0.916666666666667
79,0.36
80,0.843333333333333
81,0.49
82,0.276666666666667
83,0.96
84,0.25
85,0.976666666666667
86,0.926666666666667
87,0.79
88,0.71
89,0.763333333333333
90,0.856666666666667
91,0.396666666666667
92,0.77
93,0.78
94,0.976666666666667
95,0.353333333333333
96,0.563333333333333
97,0.356666666666667
98,0.886666666666667
99,0.6
100,0.963333333333333
101,0.996666666666667
102,0.39
103,0.96
104,0.17
105,0.64
106,0.686666666666667
107,0.876666666666667
108,0.48
109,0.906666666666667
110,0.87
111,0.816666666666667
112,0.22
113,0.453333333333333
114,0.826666666666667
115,0.223333333333333
116,0.313333333333333
117,0.276666666666667
118,0.616666666666667
119,0.563333333333333
120,0.84
121,0.696666666666667
122,0.576666666666667
123,1
124,0.443333333333333
125,0.516666666666667
126,0.89
127,0.653333333333333
128,0.653333333333333
129,0.683333333333333
130,0.246666666666667
131,0.683333333333333
132,0.926666666666667
133,0.403333333333333
134,0.97
135,0.676666666666667
136,1
137,0.97
138,0.683333333333333
139,0.503333333333333
140,0.97
141,0.636666666666667
142,0.99
143,0.98
144,0.566666666666667
145,0.993333333333333
146,0.17
147,0.73
148,0.936666666666667
149,0.82
150,0.426666666666667
151,0.74
152,0.716666666666667
153,0.973333333333333
154,0.593333333333333
155,0.27
156,0.863333333333333
157,0.366666666666667
158,0.28
159,0.726666666666667
160,0.213333333333333
161,0.893333333333333
162,0.46
163,0.393333333333333
164,0.786666666666667
165,0.95
166,0.766666666666667
167,0.56
168,0.62
169,0.223333333333333
170,0.476666666666667
