index,loan_status
1,1
2,1
3,1
4,0.370689655
5,0.70212766
6,0.370689655
7,0.370689655
8,1
9,0.4
10,0.370689655
11,0.370689655
12,0.370689655
13,0.370689655
14,0.370689655
15,0.370689655
16,0.70212766
17,0.70212766
18,0.6
19,0.370689655
20,0.4
21,0.4
22,0.4
23,0.370689655
24,0.370689655
25,0.370689655
26,1
27,0.70212766
28,0.370689655
29,0.370689655
30,0.70212766
31,0.4
32,0.370689655
33,0.370689655
34,0.357142857
35,0.370689655
36,0.70212766
37,0.370689655
38,0.370689655
39,0.370689655
40,0.370689655
41,0.4
42,0.6875
43,0.4
44,0.370689655
45,0.370689655
46,0.370689655
47,0.370689655
48,0.70212766
49,0.787878788
50,0.787878788
51,0.787878788
52,0.787878788
53,0.787878788
54,0.787878788
55,0.272727273
56,0.6
57,0.357142857
58,0.70212766
59,0.787878788
60,0.70212766
61,0.787878788
62,0.272727273
63,0.787878788
64,0.6
65,0.70212766
66,0.4
67,0.6
68,0.4
69,0.357142857
70,0.70212766
71,0.370689655
72,0.787878788
73,0.357142857
74,0.4
75,0.272727273
76,0.787878788
77,0.787878788
78,0.70212766
79,0.70212766
80,0.787878788
81,0.787878788
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0.370689655
101,0.4
102,0.370689655
103,0.370689655
104,0.285714286
105,0.6
106,0.370689655
107,0.370689655
108,0.6875
109,0.70212766
110,0.370689655
111,0.370689655
112,0.4
113,0.370689655
114,0.370689655
115,0.6875
116,0.70212766
117,0.370689655
118,0.4
119,0.370689655
120,0.370689655
121,0.370689655
122,0.70212766
123,0.370689655
124,0.370689655
125,0.70212766
126,0.370689655
127,0.6875
128,0.370689655
129,0.370689655
130,0.70212766
131,0.70212766
132,0.370689655
133,0.370689655
134,1
135,0.6875
136,0.6875
137,0.370689655
138,0.70212766
139,0.370689655
140,0.370689655
141,0.272727273
142,0.4
143,0.70212766
144,0.787878788
145,0.70212766
146,0.4
147,0.4
148,0.357142857
149,0.4
150,0.787878788
